date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:55:57	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2021%20Jan%202021%2019:56:32%20GMT	http://legacy.aonprd.com/robots.txt		(from )
14:55:57	20472/20472	---M-Z	200	added ('OK')	text/html	etag:%228038ef38c90d61:0%22	http://legacy.aonprd.com/	C:/Users/Jedi/Desktop/Pathfinder%20Site/Pathfinder/legacy.aonprd.com/index.html	(from )
14:55:57	9860/9860	---M-Z	200	added ('OK')	text/css	etag:%22056ab689e7ed61:0%22	http://legacy.aonprd.com/include/prd-stylesheet.css	C:/Users/Jedi/Desktop/Pathfinder%20Site/Pathfinder/legacy.aonprd.com/include/prd-stylesheet.css	(from http://legacy.aonprd.com/)
14:55:58	580/580	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Sep%202014%2004:24:34%20GMT	http://cdn.paizo.com/chrome/style/jquery.dataTables.min.css	C:/Users/Jedi/Desktop/Pathfinder%20Site/Pathfinder/cdn.paizo.com/chrome/style/jquery.dataTables.min.1.delayed	(from http://legacy.aonprd.com/)
14:55:58	580/580	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Sep%202014%2004:24:34%20GMT	http://cdn.paizo.com/chrome/style/jquery-ui.min.css	C:/Users/Jedi/Desktop/Pathfinder%20Site/Pathfinder/cdn.paizo.com/chrome/style/jquery-ui.min.css	(from http://legacy.aonprd.com/)
14:55:59	28189/28189	---M--	200	added ('OK')	image/png	etag:%229b3df1689e7ed61:0%22	http://legacy.aonprd.com/include/PRD-Logo.png	C:/Users/Jedi/Desktop/Pathfinder%20Site/Pathfinder/legacy.aonprd.com/include/PRD-Logo.png	(from http://legacy.aonprd.com/)
14:55:59	1044/1044	---M--	200	added ('OK')	image/png	etag:%229b3df1689e7ed61:0%22	http://legacy.aonprd.com/include/menu.png	C:/Users/Jedi/Desktop/Pathfinder%20Site/Pathfinder/legacy.aonprd.com/include/menu.png	(from http://legacy.aonprd.com/)
14:55:59	13228/13228	---M--	200	added ('OK')	image/png	etag:%225e29fd689e7ed61:0%22	http://legacy.aonprd.com/include/PRD-Logo_Mobile.png	C:/Users/Jedi/Desktop/Pathfinder%20Site/Pathfinder/legacy.aonprd.com/include/PRD-Logo_Mobile.png	(from http://legacy.aonprd.com/)
14:56:00	59508/59508	---M-Z	200	added ('OK')	text/html	etag:%22337d8f689e7ed61:0%22	http://legacy.aonprd.com/coreRulebook/gettingStarted.html	C:/Users/Jedi/Desktop/Pathfinder%20Site/Pathfinder/legacy.aonprd.com/coreRulebook/gettingStarted.html	(from http://legacy.aonprd.com/)
14:56:01	56026/56026	---M-Z	200	added ('OK')	text/html	etag:%22337d8f689e7ed61:0%22	http://legacy.aonprd.com/coreRulebook/races.html	C:/Users/Jedi/Desktop/Pathfinder%20Site/Pathfinder/legacy.aonprd.com/coreRulebook/races.html	(from http://legacy.aonprd.com/)
14:56:01	28273/28273	---M-Z	200	added ('OK')	text/html	etag:%226e95b689e7ed61:0%22	http://legacy.aonprd.com/coreRulebook/classes.html	C:/Users/Jedi/Desktop/Pathfinder%20Site/Pathfinder/legacy.aonprd.com/coreRulebook/classes.html	(from http://legacy.aonprd.com/)
14:56:02	27857/27857	---M-Z	200	added ('OK')	text/html	etag:%22290a2689e7ed61:0%22	http://legacy.aonprd.com/coreRulebook/usingSkills.html	C:/Users/Jedi/Desktop/Pathfinder%20Site/Pathfinder/legacy.aonprd.com/coreRulebook/usingSkills.html	(from http://legacy.aonprd.com/)
14:56:02	40333/40333	---M-Z	200	added ('OK')	text/html	etag:%22a32da0689e7ed61:0%22	http://legacy.aonprd.com/coreRulebook/skillDescriptions.html	C:/Users/Jedi/Desktop/Pathfinder%20Site/Pathfinder/legacy.aonprd.com/coreRulebook/skillDescriptions.html	(from http://legacy.aonprd.com/)
14:56:03	206276/206276	---M-Z	200	added ('OK')	text/html	etag:%22175688689e7ed61:0%22	http://legacy.aonprd.com/coreRulebook/feats.html	C:/Users/Jedi/Desktop/Pathfinder%20Site/Pathfinder/legacy.aonprd.com/coreRulebook/feats.html	(from http://legacy.aonprd.com/)
14:56:04	156931/156931	---M-Z	200	added ('OK')	text/html	etag:%22494375689e7ed61:0%22	http://legacy.aonprd.com/coreRulebook/equipment.html	C:/Users/Jedi/Desktop/Pathfinder%20Site/Pathfinder/legacy.aonprd.com/coreRulebook/equipment.html	(from http://legacy.aonprd.com/)
14:56:06	77113/77113	---M-Z	200	added ('OK')	text/html	etag:%2220ce5f689e7ed61:0%22	http://legacy.aonprd.com/coreRulebook/additionalRules.html	C:/Users/Jedi/Desktop/Pathfinder%20Site/Pathfinder/legacy.aonprd.com/coreRulebook/additionalRules.html	(from http://legacy.aonprd.com/)
14:56:08	157190/157190	---M-Z	200	added ('OK')	text/html	etag:%2220ce5f689e7ed61:0%22	http://legacy.aonprd.com/coreRulebook/combat.html	C:/Users/Jedi/Desktop/Pathfinder%20Site/Pathfinder/legacy.aonprd.com/coreRulebook/combat.html	(from http://legacy.aonprd.com/)
14:56:08	99688/99688	---M-Z	200	added ('OK')	text/html	etag:%22d81a8d689e7ed61:0%22	http://legacy.aonprd.com/coreRulebook/magic.html	C:/Users/Jedi/Desktop/Pathfinder%20Site/Pathfinder/legacy.aonprd.com/coreRulebook/magic.html	(from http://legacy.aonprd.com/)
14:56:09	174093/174093	---M-Z	200	added ('OK')	text/html	etag:%22290a2689e7ed61:0%22	http://legacy.aonprd.com/coreRulebook/spellLists.html	C:/Users/Jedi/Desktop/Pathfinder%20Site/Pathfinder/legacy.aonprd.com/coreRulebook/spellLists.html	(from http://legacy.aonprd.com/)
14:56:10	69916/69916	---M-Z	200	added ('OK')	text/html	etag:%22290a2689e7ed61:0%22	http://legacy.aonprd.com/coreRulebook/spellIndex.html	C:/Users/Jedi/Desktop/Pathfinder%20Site/Pathfinder/legacy.aonprd.com/coreRulebook/spellIndex.html	(from http://legacy.aonprd.com/)
14:56:10	23282/23282	---M-Z	200	added ('OK')	text/html	etag:%22d81a8d689e7ed61:0%22	http://legacy.aonprd.com/coreRulebook/prestigeClasses.html	C:/Users/Jedi/Desktop/Pathfinder%20Site/Pathfinder/legacy.aonprd.com/coreRulebook/prestigeClasses.html	(from http://legacy.aonprd.com/)
14:56:11	52410/52410	---M-Z	200	added ('OK')	text/html	etag:%226c9183689e7ed61:0%22	http://legacy.aonprd.com/coreRulebook/gamemastering.html	C:/Users/Jedi/Desktop/Pathfinder%20Site/Pathfinder/legacy.aonprd.com/coreRulebook/gamemastering.html	(from http://legacy.aonprd.com/)
14:56:13	43989/43989	---M-Z	200	added ('OK')	text/html	etag:%22d81a8d689e7ed61:0%22	http://legacy.aonprd.com/coreRulebook/nPCClasses.html	C:/Users/Jedi/Desktop/Pathfinder%20Site/Pathfinder/legacy.aonprd.com/coreRulebook/nPCClasses.html	(from http://legacy.aonprd.com/)
14:56:13	210439/210439	---MCZ	200	added ('OK')	text/html	etag:%227d3062689e7ed61:0%22	http://legacy.aonprd.com/coreRulebook/environment.html	C:/Users/Jedi/Desktop/Pathfinder%20Site/Pathfinder/legacy.aonprd.com/coreRulebook/environment.html	(from http://legacy.aonprd.com/)
14:56:13	44976/44976	---M-Z	200	added ('OK')	text/html	etag:%226e95b689e7ed61:0%22	http://legacy.aonprd.com/coreRulebook/creatingNPCs.html	C:/Users/Jedi/Desktop/Pathfinder%20Site/Pathfinder/legacy.aonprd.com/coreRulebook/creatingNPCs.html	(from http://legacy.aonprd.com/)
14:56:13	42923/42923	---M-Z	200	added ('OK')	text/html	etag:%2280bf12689e7ed61:0%22	http://legacy.aonprd.com/coreRulebook/magicItems.html	C:/Users/Jedi/Desktop/Pathfinder%20Site/Pathfinder/legacy.aonprd.com/coreRulebook/magicItems.html	(from http://legacy.aonprd.com/)
14:56:14	124695/124695	---M-Z	200	added ('OK')	text/html	etag:%22a32da0689e7ed61:0%22	http://legacy.aonprd.com/coreRulebook/glossary.html	C:/Users/Jedi/Desktop/Pathfinder%20Site/Pathfinder/legacy.aonprd.com/coreRulebook/glossary.html	(from http://legacy.aonprd.com/)
